Name,Address
Chicken Republic,"Address: 12 Coker Road, Ilupeju, Lagos, Nigeria"
Basilico Italian Restaurant,"Address: 15, Musa Yaradua Street, Victoria Island, Lagos, Nigeria"
Bottles Restaurant,"Address: 3 & 4 Water Corporation Road, Victoria Island, Lagos, Nigeria"
Golden Gate Restaurant,"Address: Alfred Rewane Road, Ikoyi, Lagos, Nigeria"
355 Restaurant & Lounge,"Address: 9a, Oko- Awo Close, Victoria Island, Lagos, Nigeria"
Abibiz Restaurants,"Address: Murtala Mohammed International Airport, Ikeja, Lagos, Nigeria"
China Town Express Restaurant,"Address: 14b, Idowu Taylor Street, Victoria Island, Lagos, Nigeria"
411 Restaurant and Bar,"Address: 5, Amodu Tijani Close, Victoria Island, Lagos, Nigeria"
Cactus Restaurant,"Address: 20/24 Ozumba Mbadiwe, Victoria Island, Lagos, Nigeria"
Marco-Polo Chinese Restaurant,"Address: 9a, Karimu Kotun Street, Victoria Island, Lagos, Nigeria"
La Mango Restaurant,"Address: 3a, Adekunle Fajuyi Way, Ikeja, Lagos, Nigeria"
Kilimanjaro Restaurant,"Address: 84,ozumba Mbadiwe Street, Victoria Island, Lagos, Nigeria"
Talindo Steak House Restaurant,"Address: 7b Karimu Kotun Street, Victoria Island, Lagos, Nigeria"
Uac Restaurants,"Address: 16,ikorudu Road, Lagos, Nigeria"
Bungalow Restaurant,"Address: Plot 1296, Akin Adesola Street, Victoria Island, Lagos, Nigeria"
Viceroy Restaurant,"Address: 33, Akin Adesola Street, Victoria Island, Lagos, Nigeria"
CCX Restaurant and Lounge,"Address: 273 Kofo Abayomi Street, Victoria Island, Lagos, Nigeria"
360 Restaurant,"Address: 23b2, Idejo Street, Victoria Island, Lagos, Nigeria"
Black Bell Restaurant,"Address: Block 2, Plot 69a Admiralty Way,, Lekki, Lagos, Nigeria"
Jevinik Restaurant,"Address: 21, Isaac John Street, Ikeja, Lagos, Nigeria"
Excel Food Services,"Address: 7b, Gardenia Way, Ajah, Lagos, Nigeria"
Indigo Bar Restaurant and Suites,"Address: 242b Muri Okunola Street, Victoria Island, Lagos, Nigeria"
Bags Local Food Store,"Address: Emmanuel Keshi Street, Magodo, Lagos, Nigeria"
Natives Restaurants And Lounge,"Address: 5b, Ojo Olobun Close, Victoria Island, Lagos, Nigeria"
For Food Only,"Address: 21, Dele Onabolu Street, Magodo, Lagos, Nigeria"
Eli-Glo Mac-Lina Spot Restaurant And Bar,"Address: 6,alawode Street, Surulere, Lagos, Nigeria"
National Agency for Food and Drug Administration and Control,"Address: Nafdac Office Complex, Oshodi, Lagos, Nigeria"
National Agency for Food and Drug Administration and Control,"Address: 3/5 Oshodi Expressway, Oshodi, Lagos, Nigeria"
Orchard Food and Confectioneries,"Address: 1, Yakubu Street, Ketu, Lagos, Nigeria"
FSB Food Mart,"Address: 58, A Kerele Street, Surulere, Lagos, Nigeria"
Gossard Hotel And Our House Restaurant,"Address: 31, Community Road, Amuwo Odofin, Lagos, Nigeria"
Lagos Food Bank Initiative,"Address: Plot 10, Oba-lateef Adams Estate, Iloro, Agege, Lagos, Nigeria"
Food Bank Nigeria,"Address: 3, Alhaji Kanike Street, Ikoyi, Lagos, Nigeria"
Nigeria Food and Drinks Expo,"Address: 34, Aiyepe Avenue Via Abiodun Bus-stop, Somolu, Lagos, Somolu, Lagos, Nigeria"
Paradox Farms Food Train,"Address: 1 Awoniyi Elemo Street, Ajao, Lagos, Nigeria"
ITEM7 Food Services,"Address: 1, Alade Lawal Street, Anthony, Lagos, Nigeria"
Bobo food & beverages,"Address: 87, Iju Road, Agege, Lagos, Nigeria"
Bobo Food and Beverages,"Address: 87, Iju Road, Agege, Lagos, Nigeria"
Matel Food And Drinks,"Address: 12, Oyewunmi Close, Surulere, Lagos, Nigeria"
Food And Pharmaceutical,"Address: 7, Causeway Drive, Ijora, Lagos, Nigeria"
Josmi Hotel Bars & Restaurant,"Address: 2, Asami Road, Akoka, Lagos, Nigeria"
Josmi Hotel Bars & Restaurant,"Address: 2, Asami Road, Akoka, Lagos, Nigeria"
Africana Restaurant,"Address: 7,temidire Street, Apapa, Lagos, Nigeria"
Peculiar Food,"Address: 8,olutunfese Street, Ketu, Lagos, Nigeria"
Peculiar Food,"Address: Moq 30 Ikeja Cantonment, Ikeja, Lagos, Nigeria"
Karma Hotel & Restaurant,"Address: 17, Burma Road, Apapa, Lagos, Nigeria"
Le scale Hotel & Restaurant,"Address: 6, Akin Olugbade Street, Victoria Island, Lagos, Nigeria"
Mobech Guest House Restaurant,"Address: 1, Igbobisbe Street, Jibowu, Lagos, Nigeria"
Elias Restaurant Lounge & bar,"Address: 24 ,idejo Street, Victoria Island, Lagos, Nigeria"
TFT Food Nigeria,"Address: 21 Akiyemi Crescent, Surulere, Lagos, Nigeria"
JAM The Coconut Food Company,"Address: 15b Omorinre Johnson Street, Lekki, Lagos, Nigeria"
China Ville Chinese Restaurant.,"Address: 9b, Abagbon Close Off Ologun Agbaje, Off Adeola Odeku, Ikoyi, Lagos, Nigeria"
Ofadaa,"Address: Lagos, Lagos, Lagos, Nigeria"
Pot-A-Soup,"Address: 2 Jim Unah Way, Badore, Lagos, Nigeria"
Smokey Bones,"Address: 8b Fabac Close, Victoria Island, Lagos, Nigeria"
Chicken Republic,"Address: 86, Omole Residential Scheme, Ikeja, Lagos, Nigeria"
Green Grill House,"Address: 15 Wole Ariyo Off Admiralty Way, Lekki Phase 1, Lagos, Nigeria"
Le Veranda,"Address: 17, Oju Olobun Street, Victoria Island, Lagos, Nigeria"
Grocery Bazaar,"Address: 13, Lasu-isheri Expressway, Akesan, Lagos, Nigeria"
Molabat kitchen,"Address: 14 Akanni Ajiran Street,, Lekki, Lagos, Nigeria"
Samantha`s Bistro,"Address: 2 Olawale Daodu Road, Ikoyi, Lagos, Nigeria"
Izanagi,"Address: 19b Idejo Street, Victoria Island, Lagos, Nigeria"
Brass & Copper,"Address: 1 Olubunmi Owa Street, Lekki, Lagos, Nigeria"
La Veranda by Blowfish,"Address: 17 Oju Olobun Close, Victoria Island, Lagos, Nigeria"
Ocean Basket,"Address: 58c Isaac John Street, Ikeja, Lagos, Nigeria"
Prest Lunch and Dinner Cruise,"Address: 1, Admiralty Road, Lekki, Lagos, Nigeria"
Tantalizers,"Address: I Close, Festac Town, Lagos, Nigeria"
Fruit Fiber n' Beyond,"Address: 75, Adeniran Ogunsanya Street, Surulere, Lagos, Nigeria"
New look calaber kitchen,"Address: 7 Asa Afariogun Street, Ikeja, Lagos, Nigeria"
RSVP,"Address: 9 Eletu Ogabi Street, Victoria Island, Lagos, Nigeria"
Ile Eros,"Address: 14 Kafayat Abdulrazak Street, Lekki, Lagos, Nigeria"
Shoprite,"Address: Off Lekki Express Way, Victoria Island, Lagos, Nigeria"
The Snail Shop,"Address: 24/26, Shipeolu Street, Onipanu, Lagos, Nigeria"
Mr. Biggs,"Address: 32, Kudirat Abiola Way, Ikeja, Lagos, Nigeria"
Shoprite,"Address: Adeniran Ogunsanya Street, Surulere, Lagos, Nigeria"
Lantern Place,"Address: 10, Alhaji Kosoko Street, Ojodu, Lagos, Nigeria"
De Grocery Truck,"Address: Blk B, House 1, Vista Estate, Pascal Offiah Close, Victoria Island, Lagos, Nigeria"
Mr Bigs,"Address: 6 Osolo Way Ajao Estate, Ikeja, Lagos, Nigeria"
Mama's kitchen,"Address: 1 Asa Afariogun Street Ajao Estate, Ikeja, Lagos, Nigeria"
Shiro Lagos,"Address: 3 & 4, Water Corporation Road, Victoria Island, Lagos, Nigeria"
The Metaphor,"Address: 78a Younis Bashorun Street, Victoria Island, Lagos, Nigeria"
Noir,"Address: 4a Akin Olugbade Street, Victoria Island, Lagos, Nigeria"
Salma's Lebanese Cuisine,"Address: 20/24 Ozumba Mbadiwe Avenue, Victoria Island, Lagos, Nigeria"
FoodCo Store,"Address: Mega 1 Event Centre, Lekki, Lagos, Nigeria"
01 Shawarma,"Address: 52, Akerele Street, Surulere, Lagos, Nigeria"
01 Shawarma,"Address: 33, Enitan Street, Surulere, Lagos, Nigeria"
01 Shawarma,"Address: 1, Salami Street, Maryland, Lagos, Nigeria"
01 Shawarma,"Address: 1cs, Hakeem Balogun Street, Ikeja, Lagos, Nigeria"
01 Shawarma,"Address: 345, Odusami Street, Ogba, Lagos, Nigeria"
01 Shawarma,"Address: 67, Adeniyi Jones Avenue, Ikeja, Lagos, Nigeria"
01 Shawarma,"Address: 154, Iju Road, Agege, Lagos, Nigeria"
01 Shawarma,"Address: Shop E7, Falomo Shopping Centre, Ikoyi, Lagos, Nigeria"
01 Shawarma,"Address: 47, Adekunle Banjo Avenue, Magodo, Lagos, Nigeria"
Fast Food,"Address: 1, Dikem Close, Ojo, Lagos, Nigeria"
Goodman Supermarket,"Address: 2/3, Okota Road, Isolo, Lagos, Nigeria"
Cafe Jade,"Address: 7, Caroline Atounah, Lekki, Lagos, Nigeria"
BL Supermarket,"Address: Yomade Shopping Mall, Awoyaya, Lagos, Nigeria"
Glamour Supermarket & Stores,"Address: Opposite Crown Estate, Sangotedo, Lagos, Nigeria"
Gravitas Supermarket,"Address: 17, Emma Abimbola Cole Street, Lekki, Lagos, Nigeria"
JF Supermarket,"Address: Lekki-epe Express Way, Sangotedo, Lagos, Nigeria"
Nazareth Supermarket,"Address: Babatunde Street, Surulere, Lagos, Nigeria"
Okoli Supermarket,"Address: 34, Eti-osa Way, Ikoyi, Lagos, Nigeria"
Spendless Supermarket,"Address: 2, Association Avenue, Shangisha, Lagos, Nigeria"
Taiwo Supermarket,"Address: Ire Akari Estate, Isolo, Lagos, Nigeria"
Cost Slice Supermarket,"Address: 120, Ogunlana Drive, Surulere, Lagos, Nigeria"
The Big Kitchen,"Address: Omobola Street, Egbeda, Lagos, Nigeria"
B&K Supermarket,"Address: 33, Ahmadu Bello Way, Victoria Island, Lagos, Nigeria"
Goodies,"Address: 273, Kofo Abayomi Street, Victoria Island, Lagos, Nigeria"
CCD Superstores,"Address: 116, Ogudu/ojota Road, Ogudu, Lagos, Nigeria"
SoFresh Neighborhood Market,"Address: 92, Awolowo Road, Ikoyi, Lagos, Nigeria"
AfroFood,"Address: 7 Olagbende Street, Meiran, Lagos, Nigeria"
HSE Gourment,"Address: 25, Babatope Bejide Crescent, Lekki Phase 1, Lagos, Nigeria"
Mint by Eat Green Company,"Address: 33 Grace Anjous Drive, Lekki Phase 1, Lagos, Nigeria"
Vellvett Grill Lounge and Bar,"Address: 18b Idejo Street, Victoria Island, Lagos, Nigeria"
Kohinoor Lagos,"Address: 72 Kusenla Road, Lekki, Lagos, Nigeria"
Bonzai,"Address: 1303 Akin Adesola, Victoria Island, Lagos, Nigeria"
Yakoyo Abula Joint,"Address: 107 Ogunlana Drive, Surulere, Lagos, Nigeria"
Yakoyo Abula Joint,"Address: 6 Otunba Adedoyin Ogungbe Crescent, Lekki, Lagos, Nigeria"
Bukka Hut,"Address: Block 69a, Admiralty Way, Lekki, Lagos, Nigeria"
Bukka Hut,"Address: 271 Herbert Macaulay Way, Yaba, Lagos, Nigeria"
Bukka Hut,"Address: 77 Bode Thomas Street, Surulere, Lagos, Nigeria"
Bukka Hut,"Address: Osolo Way, Isolo, Lagos, Nigeria"
Bukka Hut,"Address: 61 Awolowo Road, Ikoyi, Lagos, Nigeria"
Bukka Hut,"Address: 98 -105 Road 3, Ajah, Lagos, Nigeria"
Bukka Hut,"Address: Plot 278 Gbagada Oworonski Expressway, Gbagada, Lagos, Nigeria"
Bukka Hut,"Address: Plot 11, Block 31 Admiralty Way, Lekki, Lagos, Nigeria"
Bukka Hut,"Address: Amuwo Odofin Estate, Festac, Lagos, Nigeria"
Bukka Hut,"Address: Shop 6 Fifth Roundabout Bus Stop Lekki,, Lekki, Lagos, Nigeria"
Bukka Hut,"Address: Chevron Drive, Lekki, Lagos, Nigeria"
Mama Cass,"Address: 214 Ikorodu Road, Ikeja, Lagos, Nigeria"
Fingers 2 Mouth,"Address: 3, Adedamola Ojomo Close, Surulere, Lagos, Nigeria"
Mama Cass,"Address: 4a, Oyeleke Street, Ikeja, Lagos, Nigeria"
Mama Cass,"Address: 271, Ajose Adeogun Street, Victoria Island, Lagos, Nigeria"
Mama Cass,"Address: 5, Allen Avenue, Ikeja, Lagos, Nigeria"
Mama Cass,"Address: 1-5, Dayo Adeniyi Street, Oko-oba, Lagos, Nigeria"
Chicken Republic,"Address: 12, Coker Road, Ilupeju, Lagos, Nigeria"
Chicken Republic,"Address: 7, Egbe Road, Isolo, Lagos, Nigeria"
Chicken Republic,"Address: 37a, Opebi Road, Ikeja, Lagos, Nigeria"
Chicken Republic,"Address: 60a, Adeola Odeku Street, Victoria Island, Lagos, Nigeria"
Chicken Republic,"Address: 24, Ligali Ayorinde Street, Victoria Island, Lagos, Nigeria"
Chicken Republic,"Address: 10, Ikorodu Road, Jibowu, Lagos, Nigeria"
Yin Yang Express,"Address: 5, Admiralty Way, Lekki, Lagos, Nigeria"
Prest Jazz Club,"Address: 1c, Admiralty Road, Off Admiralty Way,, Lekki Phase 1, Lagos, Nigeria"
Yin Yang Express,"Address: 350-360 Ikorodu Road, Ikeja, Lagos, Nigeria"
DishSoSweet,"Address: Lagos, Lagos, Lagos Nigeria, Nigeria"
TOE Caterers,"Address: 28, Ogunleye Street, Surulere, Lagos, Nigeria"
FarmDirect,"Address: 14, Dele Dejonwo Close, Maryland, Lagos, Nigeria"
FarmDirect,"Address: 2, Joel Ogunaike Street, Ikeja, Lagos, Nigeria"
Banarly Seafood,"Address: Oba Ganiyu Adesanya Way, Ebute Metta, Lagos, Nigeria"
Market At Doorstep Global Services,"Address: 12/14, Okiki Street, Off Ago Palace Way, Okota, Isolo, Lagos, Nigeria"
Haven Lounge,"Address: 140 ,sagamu-ikorodu Road, Ikorodu, Lagos, Nigeria"
Churrasco and Fusion,"Address: 1c, Ozumba Mbadiwe Road, Victoria Island, Lagos, Nigeria"
Akaskibaho Global resources,"Address: 116 Rollas Complex Isolo Mushin Road, Oshodi, Lagos, Nigeria"
GroceryAllDay,"Address: 32, Obafemi Awolowo Oke Ota-ona Grammar School, Ikorodu, Lagos, Nigeria"
O Gourmet,"Address: B20 Wole Olateju Crescent,, Lekki, Lagos, Nigeria"
Woks and Koi,"Address: 5 Adebayo Doherty Road, Lekki, Lagos, Nigeria"
Domino's Pizza,"Address: 31/37, Toyin Street, Ikeja, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 16 Catholic Mission Street, Victoria Island, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 21, Opebi Road, Ikeja, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 50, Warehouse Road, Apapa, Lagos, Nigeria"
Tastee Fried Chicken,"Address: Enyo Fuel Station, Lekki, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 49 Lagos Road, Ikorodu, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 2nd, Avenue, Festac, Lagos, Nigeria"
Ofada Boy,"Address: 1 Mba Street, Surulere, Lagos, Nigeria"
Iya Mushin,"Address: 88, Egbe Road., Isolo, Lagos, Nigeria"
Savories & Sweets,"Address: 1 Pssdc Road, Shangisha, Lagos, Nigeria"
Georges Chinese Cuisine,"Address: Adeniran Ogusanya Street, Surulere, Lagos, Nigeria"
GloryLand Halls And Suites,"Address: 1, Olanipekun Drive, Isheri Olofin, Lagos, Nigeria"
DF Ventures,"Address: Alhaji Kosoko Street, Ojodu, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 106, Awolowo Road, Ikoyi, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 44a Ijaiye Road, Ikeja, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 49c, Marina Street, Lagos Island, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 892a Admiral Oduwaiye Street, Omole, Lagos, Nigeria"
Chicken Republic,"Address: 22 Road Festac Town, Festac, Lagos, Nigeria"
Chicken Republic,"Address: 149 Akowonjo Road, Egbeda, Lagos, Nigeria"
Chicken Republic,"Address: 190, Awolowo Road, Ikoyi, Lagos, Nigeria"
Chicken Republic,"Address: 32, Ire Akari Estate Road, Isolo, Lagos, Nigeria"
Chicken Republic,"Address: Km 26, Old Lagos-abeokuta Express Way,, Abule Egba, Lagos, Nigeria"
Chicken Republic,"Address: 23 Ajiran Road, Lekki, Lagos, Nigeria"
Chicken Republic,"Address: 10 Admiralty Way, Lekki Phase 1, Lagos, Nigeria"
Chicken Republic,"Address: 41, Saint Finbarrs Road, Yaba, Lagos, Nigeria"
Chicken Republic,"Address: Oando Filling Station, Ketu, Lagos, Nigeria"
Olam,"Address: Plot 5 & 6 Abebe Village Road, Iganmu, Lagos, Nigeria"
TJY Corporate Solutions,"Address: 15-16, Olusola Ikare Street, Idimu, Lagos, Nigeria"
Tastee Fried Chicken,"Address: 144 Shobowale Street, Akowonjo, Lagos, Nigeria"
Afro Foods and Spices,"Address: 7, Randle Crescent, Apapa, Lagos, Nigeria"
Propac,"Address: 94 Old Ewu Road, Mafoluku, Lagos, Nigeria"
Palmview Manor,"Address: 2, Tony Anegbode Street, Victoria Island, Lagos, Nigeria"
Cotton Suites,"Address: 5, Amodu Tijani Close, Victoria Island, Lagos, Nigeria"
Big Treat Confectioneries,"Address: 10, College Road, Ifako Ijaiye, Lagos, Nigeria"
Big Treat Confectioneries,"Address: 10, College Road, Ifako Ijaiye, Lagos, Nigeria"
Big Treat Confectioneries,"Address: 1, Gana Williams Street, Ikoyi, Lagos, Nigeria"
Big Treat Confectioneries,"Address: Akonwanjo Road, Alimosho, Lagos, Nigeria"
Big Treat Confectioneries,"Address: 1st Avenue, Festac Town, Lagos, Nigeria"
Ace-T Equipment Service,"Address: 59, Olatilewa Street, Surulere, Lagos, Nigeria"
XOVAR LOUNGE,"Address: Behind Bespoke Event Center, Lekki, Lagos, Nigeria"
Dotimi Mobile Pots Of Soup,"Address: Ogudu Road, Ogudu, Lagos, Nigeria"
Damfade Enterprises,"Address: 58, Igbogbo/bayekun Road, Ikorodu, Lagos, Nigeria"
Uncle Tiko Foods,"Address: 12, Ire Akari Avenue, Ayobo, Lagos, Nigeria"
Golden Penny Foods,"Address: 1 Golden Penny Place, Apapa, Lagos, Nigeria"
Amel Susan,"Address: 13, Dabiri Street, Ejigbo, Lagos, Nigeria"
Moon & Star,"Address: 7, Seriki Aro Street, Ikeja, Lagos, Nigeria"
Ok Foods,"Address: Plot 1, Block C, Fatai Atere Way, Mushin, Lagos, Nigeria"
Winnys Meals,"Address: House 32, Ave Road, Festac, Lagos, Nigeria"
Vinad Potatoes,"Address: 11, Aina Street, Ogudu, Lagos, Nigeria"
Emem Haven,"Address: 13b,ilorin Street, Surulere, Lagos, Nigeria"
Agro Allied Development Enterprises,"Address: 12b, Akin Olugbade Street, Victoria Island, Lagos, Nigeria"
Lagos Oriental Hotel,"Address: 3, Lekki Road, Victoria Island, Lagos, Nigeria"
Addis Engineering,"Address: 26, Abimbola Street, Isolo, Lagos, Nigeria"
Adeniran Ogunsanya Shopping Mall,"Address: 84, Adeniran Ogunsanya Street, Surulere, Lagos, Nigeria"
Nu Grotto,"Address: 217 Etim Inyang Crescent, Victoria Island, Lagos, Nigeria"
Lagos City Mall,"Address: 14, Centage Plaza, Ikeja, Lagos, Nigeria"
Vitachem Nigeria,"Address: No. 11, Olabisi Street, Ilupeju, Lagos, Nigeria"
Smridu,"Address: 39, Adekunle Fajuyi Way, Ikeja, Lagos, Nigeria"
Shaunz Bar,"Address: 27 Sanusi Fafunwa Street, Victoria Island, Lagos, Nigeria"
Rx3.0 Pharmacy,"Address: 146c Ligali Ayorinde Street, Victoria Island, Lagos, Nigeria"
Pets Mart,"Address: 19b Bush Street, Ikeja, Lagos, Nigeria"
Training and Recruitment Solutions,"Address: Block 3, Alpha Beach Road, Lekki/lagos, Lagos, Nigeria"
You Cloud,"Address: 21 Adeola Odeku Street, Victoria Island, Lagos, Nigeria"
Ice Cream Factory,"Address: 1613b, Omega Bank Avenue, Victoria Island, Lagos, Nigeria"
The Ice Cream Factory,"Address: 5, Admiralty Way, Lekki, Lagos, Nigeria"
